frame,time_s,membrane_J,bending_J,kinetic_J,gravity_relative_J,cloth_mechanical_J,self_normal_J,body_normal_J,mechanical_plus_contact_J,overflow_rows,asymmetric_ee_pairs
70,1.1666666666666667,2.1516235244763298,3.1356655027904727,2.7211467895004947e-06,-0.005405057357035434,5.281886691056557,1.1776723369033104,33.64457164311018,40.10413067107005,0,0
75,1.25,9.534389961869346,3.6353887867520065,1.0602886080187013e-05,-0.005386275503136653,13.164403076004296,3.0447607052144257,191.41830833915654,207.62747212037527,0,0
80,1.3333333333333333,21.86819170359375,4.443582743944957,1.3266415738023251e-05,-0.005361493024191699,26.306426220930256,12.769537307969973,283.807573441564,322.8835369704642,0,0
85,1.4166666666666667,21.658702169827013,4.61762752793859,7.925734768305897e-05,-0.0052487376592168095,26.27116021745407,8.383331055609197,94.6515271578055,129.3060184308688,0,0
90,1.5,18.707631797507197,4.561095916599239,1.0523078761894422e-05,-0.004980106366646614,23.26375813081855,8.720881288457061,84.64670092732847,116.63134034660408,0,0
95,1.5833333333333333,19.27937465501291,4.416455219773546,5.417541932977158e-05,-0.004635713303774047,23.69124833690201,8.198328407875806,79.96505139956146,111.85462814433927,0,0
100,1.6666666666666667,19.637772123822913,4.334682678440208,7.929825347717767e-05,-0.004180487814155934,23.96835361270244,7.821278249496283,76.2957621474288,108.08539400962752,0,0
105,1.75,18.367651966828394,4.343615487221651,3.473855888799151e-05,-0.003928728664799944,22.707373463944133,7.4641331730198015,71.47631118207659,101.64781781904051,0,0
110,1.8333333333333333,17.158488988222956,4.469762578994842,8.900440224508459e-05,-0.004137576461592282,21.624202995158452,7.187035471311524,68.71050133439167,97.52173980086164,0,0
115,1.9166666666666667,16.394298587386547,4.630551504036117,7.16247925876193e-05,-0.004125454085106506,21.020796262130148,6.943113481843045,65.92118021434526,93.88508995831845,0,0
120,2.0,16.17826125914935,4.884196420735009,8.034345351774872e-05,-0.004118382976982443,21.058419640360896,6.6981183171378,63.23622310747186,90.99276106497055,0,0
125,2.0833333333333335,16.257784523655946,5.127890180717035,9.625003028948195e-05,-0.004081557779100617,21.38168939662417,6.4384361326051405,60.68324308076498,88.5033686099943,0,0
130,2.1666666666666665,16.497114976438652,5.370430889509498,0.00010404608494701528,-0.004039586409599102,21.863610325623497,6.179235086254058,58.209668226052166,86.25251363792972,0,0
135,2.25,16.556882533194358,5.547348882479662,0.0001446356815610797,-0.0039873592639312755,22.10038869209165,5.850617017356691,55.30836920668363,83.25937491613197,0,0
140,2.3333333333333335,17.827862944269974,5.606845082808453,0.00017163133435620407,-0.004012971739058249,23.430866686673724,6.736888907702542,242.23803920725285,272.4057948016291,0,0
145,2.4166666666666665,19.222624002886967,5.898704473844383,5.806698999868692e-05,-0.004260087273907573,25.11712645644744,12.6763697459361,214.82156952423142,252.61506572661494,0,0
150,2.5,18.9967904890273,5.967526053951235,0.00013723047319774066,-0.004482644914456005,24.959971128537276,1.5061224460412657,204.0420199470265,230.50811352160503,0,0
155,2.5833333333333335,21.556564980430593,6.05868349926097,0.00015199155937553903,-0.004770004558990085,27.610630466691948,2.761531131550398,55.97028394647266,86.342445544715,0,0
160,2.6666666666666665,15.773822455461993,6.145502155106853,6.16714036181757e-05,-0.004975252441237657,21.914411029531227,8.921296682860177,29.29826994152132,60.13397765391272,0,0
165,2.75,3.483892436834903,5.480076376125261,2.590960804017735e-05,-0.0050547664411656895,8.958939956127038,2.419179900318534,7.535374589094236,18.913494445539808,0,0
170,2.8333333333333335,1.8752415543604377,5.051926635396354,6.333596293381037e-06,-0.005079459162856986,6.922095064190228,0.0007649920445432029,0.0004672772926046911,6.923327333527376,0,0
175,2.9166666666666665,1.6809031396754528,4.800837859526042,1.3494561009921615e-05,-0.005068363715663396,6.476686130046841,0.0006247897798793269,1.8375076913552937,8.314818611182014,0,0
