frame,time_s,membrane_J,bending_J,kinetic_J,gravity_relative_J,cloth_mechanical_J,self_normal_J,body_normal_J,mechanical_plus_contact_J,overflow_rows,asymmetric_ee_pairs
100,1.6666666666666667,27.311934123801265,7.52318640291849,7.674941942852888e-05,-0.004531654319113579,34.83066562182007,2.162239245510902,84.88358646285492,121.8764913301859,0,0
105,1.75,24.584843191675546,7.555894631370185,4.268522020690974e-05,-0.004265611846834064,32.1365148964191,1.383842153630551,79.45962259212452,112.97997964217417,0,0
110,1.8333333333333333,23.08571469105587,7.867426909042188,9.294903645085887e-05,-0.004369655979105672,30.948864893155402,0.854068728543929,75.95817640733448,107.7611100290338,0,0
115,1.9166666666666667,21.75375920618643,8.168279843902384,0.00011657620086898585,-0.00435359177682372,29.91780203451286,0.60636854320715,169.62971094250685,200.15388152022686,0,0
120,2.0,20.743862221038675,8.41758231887438,0.00010448137845523467,-0.004289588782931883,29.157259432508578,0.5371953635928916,69.30386852932172,98.99832332542319,0,0
125,2.0833333333333335,20.671144076914768,8.749932205445123,0.00010153347763927953,-0.004294730501999661,29.41688308533553,0.5345141195082874,66.49664025059569,96.4480374554395,0,0
130,2.1666666666666665,20.196763505148304,9.029192257830044,9.143116104839286e-05,-0.004282753366387379,29.221764440773008,0.5116366026946622,64.37863753216884,94.1120385756365,0,0
135,2.25,19.76445461706119,9.259112638559177,9.981583767515201e-05,-0.00425983986470857,29.019407231593334,0.4802467574996399,62.45018178543913,91.9498357745321,0,0
140,2.3333333333333335,19.399536787189994,9.420842021256426,0.00014741654094014016,-0.004291679084157965,28.816234545903203,0.5855074489814074,149.68003850818027,179.0817805030649,0,0
145,2.4166666666666665,20.113552917592735,9.437945019116675,6.652814147769024e-05,-0.004591423493615895,29.546973041357273,0.6448281041615014,190.62464903483715,220.81645018035593,0,0
150,2.5,20.922335045282747,9.47902313880842,9.514289779728231e-05,-0.004834336057987346,30.39661899093098,0.5579514093164933,170.62261067134128,201.57718107158874,0,0
155,2.5833333333333335,29.434417265851025,9.558817330936272,7.890602053685761e-05,-0.005040375138567213,38.98827312766927,0.45856328787290845,46.22072981233228,85.66756622787446,0,0
160,2.6666666666666665,21.427529549970963,9.495289032177034,2.6474945974012947e-05,-0.005173635874188065,30.917671421219783,8.653468517311929,25.333735018219603,64.90487495675131,0,0
165,2.75,6.715996025734583,8.161255461733465,1.2814193227325507e-05,-0.005206896058010321,14.872057405603265,2.0594496306696186,5.537364592248574,22.468871628521455,0,0
170,2.8333333333333335,4.909783773265942,7.61706702741259,6.801238738763926e-06,-0.005250902894336329,12.521606699022934,0.018852947257714255,0.011875858214103618,12.552335504494753,0,0
175,2.9166666666666665,4.402248579976143,7.211326558939396,1.1878282964328603e-05,-0.00527069673708877,11.608316320461414,0.020530780670985807,0.013000878486135674,11.641847979618536,0,0
180,3.0,4.251962850548567,7.075020403372266,2.573381582761938e-06,-0.005312348445326395,11.32167347885709,0.023410296437677263,0.015043999426868432,11.360127774721636,0,0
